# surfer's emoji set — the source of truth for BOTH the baked atlas and
# the names you can reach it by (`surfer.emoji("fire")`).
#
# One line per emoji: NAME CODEPOINT. Names are lower_snake, chosen to be
# typed rather than to match Unicode's official names, which are long and
# shouty ("GRINNING FACE WITH SMILING EYES"). The codepoint is what the
# font is keyed on, so `"\U0001F525"` and `surfer.emoji("fire")` are the
# same glyph by construction.
#
# WHY A CURATED SET AND NOT ALL OF UNICODE. An emoji is a 16x16 ARGB
# picture — 1 KB each, against a whole-build atlas budget of 1.25 MiB. The
# ~4,000 Unicode has would be 4 MiB at one size. The top 100 emoji are
# ~82% of all use (Unicode's own frequency data), so a couple of hundred
# is most of the value for 5% of the bytes. Add a line and rebuild to
# extend it.
#
# Art: Twemoji (github.com/jdecked/twemoji), graphics CC-BY 4.0 — see
# LICENSE.txt in this directory. Sequences (flags, skin tones, ZWJ
# families) are deliberately absent: they are several codepoints that
# have to be composed, and surfer's text path is one codepoint per glyph.

# ---- faces ----
grinning        1F600
ocean           1F30A
droplet         1F4A7
tornado         1F32A
moon            1F319
full_moon       1F315
earth           1F30D
comet           2604
seedling        1F331
tree            1F333
cactus          1F335
herb            1F33F
four_leaf       1F340
maple_leaf      1F341
mushroom        1F344
rose            1F339
sunflower       1F33B
tulip           1F337
blossom         1F338

# ---- animals ----
dog             1F436
cat             1F431
mouse           1F42D
rabbit          1F430
fox             1F98A
bear            1F43B
panda           1F43C
koala           1F428
tiger           1F42F
lion            1F981
cow             1F42E
pig             1F437
frog            1F438
monkey          1F435
chicken         1F414
penguin         1F427
bird            1F426
duck            1F986
owl             1F989
bat             1F987
wolf            1F43A
horse           1F434
unicorn         1F984
bee             1F41D
bug             1F41B
butterfly       1F98B
snail           1F40C
turtle          1F422
snake           1F40D
octopus         1F419
fish            1F41F
dolphin         1F42C
whale           1F433
shark           1F988
crab            1F980
dragon          1F409

# ---- food ----
apple           1F34E
green_apple     1F34F
pear            1F350
orange          1F34A
lemon           1F34B
banana          1F34C
watermelon      1F349
grapes          1F347
strawberry      1F353
cherries        1F352
peach           1F351
pineapple       1F34D
coconut         1F965
avocado         1F951
carrot          1F955
corn            1F33D
hot_pepper      1F336
bread           1F35E
cheese          1F9C0
egg             1F95A
bacon           1F953
burger          1F354
fries           1F35F
pizza           1F355
hotdog          1F32D
taco            1F32E
burrito         1F32F
popcorn         1F37F
doughnut        1F369
cookie          1F36A
cake            1F370
birthday        1F382
chocolate       1F36B
candy           1F36C
lollipop        1F36D
honey           1F36F
coffee          2615
tea             1F375
beer            1F37A
beers           1F37B
wine            1F377
cocktail        1F378
champagne       1F37E
milk            1F95B

# ---- activity and travel ----
soccer          26BD
basketball      1F3C0
football        1F3C8
baseball        26BE
tennis          1F3BE
bowling         1F3B3
dart            1F3AF
game_die        1F3B2
video_game      1F3AE
joystick        1F579
slot_machine    1F3B0
trophy          1F3C6
medal           1F3C5
first_place     1F947
second_place    1F948
third_place     1F949
crown           1F451
gift            1F381
balloon         1F388
tada            1F389
confetti        1F38A
guitar          1F3B8
piano           1F3B9
trumpet         1F3BA
violin          1F3BB
drum            1F941
saxophone       1F3B7
art             1F3A8
clapper         1F3AC
ticket          1F3AB
rocket          1F680
airplane        2708
helicopter      1F681
train           1F686
metro           1F687
bus             1F68C
car             1F697
taxi            1F695
truck           1F69A
tractor         1F69C
bike            1F6B2
scooter         1F6F4
ship            1F6A2
sailboat        26F5
anchor          2693
fuel            26FD
traffic_light   1F6A6
construction    1F6A7
house           1F3E0
office          1F3E2
hospital        1F3E5
school          1F3EB
factory         1F3ED
castle          1F3F0
tent            26FA
map             1F5FA
compass         1F9ED
mountain        26F0
volcano         1F30B
desert_island   1F3DD
beach           1F3D6

# ---- coloured shapes ----
# The status-light vocabulary, and the one part of the set that is pure
# COLOUR: nine identical squares and nine identical circles that differ
# in nothing else. They are the strongest argument for a colour atlas —
# a 1-bit emoji face can draw exactly one of each.
red_square      1F7E5
orange_square   1F7E7
yellow_square   1F7E8
green_square    1F7E9
blue_square     1F7E6
purple_square   1F7EA
brown_square    1F7EB
black_square    2B1B
white_square    2B1C
red_circle      1F534
orange_circle   1F7E0
yellow_circle   1F7E1
green_circle    1F7E2
blue_circle     1F535
purple_circle   1F7E3
brown_circle    1F7E4
black_circle    26AB
white_circle    26AA
